"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"ZBP1",0.00505454796242155,3.05416767656544,0.103929477502691,0.917569003893513,0.992747179524236,-5.60678201204884,"ZBP1"
"CXorf66",-0.0061611469996925,3.27120208263908,-0.103871074313567,0.917615156879192,0.992747179524236,-5.60678737154238,"CXorf66"
"ODAPH",0.0154927435431493,3.09419167159366,0.103758642303862,0.917704006816939,0.992747179524236,-5.6067976806274,"ODAPH"
"TEFM",-0.0205949040751685,7.6690798613276,-0.103749091024879,0.917711554809769,0.992747179524236,-5.60679855588635,"TEFM"
"KRTAP10-8",0.00881593802195724,3.64529341655469,0.103648395067047,0.917791131250329,0.992747179524236,-5.60680777854971,"KRTAP10-8"
"WNT7A",-0.028158394834521,3.2100558266595,-0.103644902072126,0.91779389165536,0.992747179524236,-5.60680809830972,"WNT7A"
"TBC1D10C",-0.00502370731518953,3.22474076619188,-0.103594341941671,0.917833847864542,0.992747179524236,-5.60681272554039,"TBC1D10C"
"MARC2",-0.0477933401252733,5.89576493281376,-0.103550286525431,0.917868663759579,0.992747179524236,-5.60681675562375,"MARC2"
"CHST14",0.0330178825394327,6.05991580287557,0.103359690064824,0.918019289240667,0.992747179524236,-5.60683417118619,"CHST14"
"KIR3DL1",-0.0054045996365617,2.88983149435636,-0.103217669266044,0.918131528076919,0.992747179524236,-5.60684712734293,"KIR3DL1"
"CARNMT1",-0.0130263151871333,3.77418425745767,-0.103138142246333,0.918194378898544,0.992747179524236,-5.60685437459085,"CARNMT1"
"BNIP3L",0.0296719690303053,9.18541759043268,0.102958834257626,0.918336089317118,0.992747179524236,-5.60687069432887,"BNIP3L"
"P4HA1",-0.0356462302814755,5.78608660171997,-0.102805562751366,0.918457224730266,0.992747179524236,-5.60688462185102,"P4HA1"
"COMMD9",0.0125931336606842,3.78642959903252,0.102798808019109,0.918462563257606,0.992747179524236,-5.60688523516493,"COMMD9"
"BICC1",0.045303690883078,3.84023555751142,0.102696217807108,0.918543644751025,0.992747179524236,-5.60689454516463,"BICC1"
"CDO1",-0.0416527654268495,3.15327117938726,-0.102598654793019,0.91862075383738,0.992747179524236,-5.60690339032892,"CDO1"
"C18orf25",-0.0236689539901063,5.87907128379468,-0.102572844602814,0.9186411530943,0.992747179524236,-5.60690572890193,"C18orf25"
"DSG3",-0.0353722138107031,3.46575091117979,-0.102544216477677,0.918663779589194,0.992747179524236,-5.60690832211041,"DSG3"
"FLVCR1",-0.0325476433652963,5.37135429669444,-0.102486921653276,0.918709063269127,0.992747179524236,-5.60691350984832,"FLVCR1"
